poly,obj,n,halfdeg,nhbd,G dim,nu,interp t,build t,solve t,affine %t,comb %t,dir %t,# iters,# corr steps,aff / iter,comb / iter
c_p_i_3_3,-44.06271,3,3,i,1000,80,0.206112,0.026509,966.579573,0.155819,0.145348,0.694731,40,2,2.2,3.975
c_p_h_3_3,-44.072369,3,3,h,1000,80,0.206112,0.031713,1446.051111,0.210447,0.209875,0.579678,54,0,2.37037,2.5
r_w_i_3_3,-34.166136,3,3,i,924,252,0.273024,0.118175,29823.004217,0.120115,0.275341,0.603952,250,0,2.524,2.612
r_w_h_3_3,-44.06898,3,3,h,924,252,0.273024,0.108282,16735.197232,0.299122,0.391489,0.307383,70,1,2.428571,2.928571
r_p_i_3_3,-43.397232,3,3,i,6006,252,0.273024,1.619797,239352.658219,0.112507,0.282851,0.595046,250,4,2.336,2.688
r_p_h_3_3,-44.070354,3,3,h,6006,252,0.273024,1.490483,88189.012429,0.236299,0.251158,0.512543,81,0,2.395062,2.518519
c_w_i_4_1,0.850327,4,1,i,25,13,0.012988,0.000367,14.187875,0.339311,0.286532,0.358248,27,1,1.777778,3.333333
c_w_h_4_1,0.850327,4,1,h,25,13,0.012988,0.000306,24.010273,0.199903,0.506864,0.279244,23,2,1.826087,4.73913
c_p_i_4_1,0.850327,4,1,i,33,13,0.012988,0.000184,11.896859,0.290117,0.249452,0.453381,27,1,1.777778,3.333333
c_p_h_4_1,0.850327,4,1,h,33,13,0.012988,0.000194,15.561747,0.180146,0.552396,0.255537,20,2,1.8,5.05
r_w_i_4_1,0.850327,4,1,i,45,17,0.020393,0.000454,8.761635,0.305999,0.279767,0.384173,14,1,1.571429,3.857143
r_w_h_4_1,0.850327,4,1,h,45,17,0.020393,0.000385,38.160008,0.248283,0.553832,0.182377,34,2,1.823529,4
r_p_i_4_1,0.850327,4,1,i,53,17,0.020393,0.000413,9.718016,0.311368,0.220077,0.456425,14,1,1.571429,3.857143
r_p_h_4_1,0.850327,4,1,h,53,17,0.020393,0.000385,26.293659,0.18077,0.493924,0.315497,24,2,1.708333,4.666667
c_w_i_4_2,-16.088893,4,2,i,225,55,0.122107,0.007915,353.164387,0.3679,0.417546,0.180695,26,2,2.115385,4.615385
c_w_h_4_2,-16.088988,4,2,h,225,55,0.122107,0.00702,531.946439,0.42424,0.460326,0.107777,24,0,2.375,2.416667
c_p_i_4_2,-16.088891,4,2,i,425,55,0.122107,0.009494,146.442931,0.152971,0.179098,0.659712,27,2,2.037037,4.555556
c_p_h_4_2,-16.089031,4,2,h,425,55,0.122107,0.006582,155.990054,0.210863,0.2385,0.550637,24,0,2.333333,2.416667
r_w_i_4_2,-14.908515,4,2,i,495,117,0.141335,0.02012,6640.830785,0.144728,0.231004,0.488592,250,41,2.524,5.692
r_w_h_4_2,-16.088934,4,2,h,495,117,0.141335,0.019893,2500.130946,0.24361,0.553863,0.196197,37,3,2.540541,4.837838
r_p_i_4_2,-15.997881,4,2,i,1395,117,0.141335,0.059661,19056.599608,0.148238,0.288874,0.436931,250,37,2.52,5.62
r_p_h_4_2,-16.088947,4,2,h,1395,117,0.141335,0.17697,4918.957733,0.269948,0.361803,0.365906,54,1,2.425926,3.055556
