           poly,             obj,               n,         halfdeg,               U,              nu,      total time,      build time,     interp time,   % time affine,     % time comb,      % time dir,       num iters,    aff per iter,   comb per iter,      corr steps
w_c_1_7,-501.328726,1,7,64,22,0.134550,0.000535,20.025966,0.286634,0.316412,0.378140,26,1,2.038462,3.346154
p_c_1_7,-501.336812,1,7,162,22,0.134550,0.000895,20.649011,0.188500,0.181073,0.624844,22,1,2.181818,3.681818
w_r_1_8,-1045.412643,1,8,153,117,0.398764,0.002490,103.753243,0.306587,0.270978,0.408767,33,1,2.909091,3.454545
p_r_1_8,-1045.413840,1,8,2367,117,0.398764,0.072012,1439.812422,0.386050,0.363758,0.240051,26,1,2.653846,3.615385
w_c_1_8,-1045.413167,1,8,81,25,0.265693,0.000732,44.570604,0.296508,0.323554,0.361985,37,2,2.027027,3.972973
p_c_1_8,-1045.413456,1,8,209,25,0.265693,0.001587,52.609493,0.204243,0.197017,0.592299,37,2,2.027027,3.972973
w_r_1_9,-1113.807784,1,9,190,145,0.297135,0.003108,204.644483,0.316757,0.278246,0.395280,40,1,2.625000,3.175000
p_r_1_9,-1113.807076,1,9,3610,145,0.297135,0.176097,4232.526357,0.371284,0.378859,0.241970,33,1,2.969697,3.333333
w_c_1_9,-1444.579842,1,9,100,28,0.202243,0.001075,160.986721,0.300492,0.341396,0.344134,97,3,2.463918,2.989691
p_c_1_9,-1444.935063,1,9,262,28,0.202243,0.002489,59.268347,0.201211,0.188577,0.605633,29,1,2.448276,3.517241
w_r_1_10,-2046.649968,1,10,231,176,0.390979,0.004825,1015.233288,0.225832,0.327941,0.347058,107,7,2.532710,3.140187
p_r_1_10,-2046.020662,1,10,5291,176,0.390979,0.241829,170838.136953,0.365205,0.255306,0.208589,500,382,2.548000,2.326000
w_c_1_10,-2260.980526,1,10,121,31,0.261488,0.001506,97.951723,0.354893,0.304088,0.303861,45,1,2.044444,2.933333
p_c_1_10,-2261.159707,1,10,321,31,0.261488,0.003423,111.203025,0.246460,0.165218,0.585368,40,1,2.075000,3.150000
w_r_2_2,-8.473904,2,2,70,35,0.120217,0.000523,20.449107,0.279032,0.238961,0.475415,30,0,2.000000,2.366667
p_r_2_2,-8.473986,2,2,180,35,0.120217,0.001157,36.715180,0.238047,0.197697,0.564256,29,0,1.965517,2.379310
w_c_2_2,-8.473924,2,2,36,18,0.085043,0.000305,13.364045,0.340787,0.294354,0.342751,32,2,2.031250,4.218750
p_c_2_2,-8.473938,2,2,72,18,0.085043,0.000283,13.545764,0.428636,0.133379,0.429141,22,2,2.090909,4.954545
w_r_2_3,-37.523780,2,3,210,95,0.315324,0.006482,2830.953077,0.191362,0.269053,0.311993,500,112,2.508000,7.004000
p_r_2_3,-45.192162,2,3,1110,95,0.315324,0.017361,38286.449956,0.084257,0.062730,0.080347,500,359,2.516000,2.418000
w_c_2_3,-64.746981,2,3,100,34,0.210682,0.001144,65.192765,0.369537,0.352955,0.263006,34,1,2.058824,3.235294
p_c_2_3,-64.748128,2,3,244,34,0.210682,0.005286,54.817298,0.180203,0.151885,0.664742,33,1,2.030303,3.242424
w_r_2_4,-126.247911,2,4,495,210,0.840756,0.021494,1193.146970,0.173245,0.341705,0.481255,46,0,2.521739,2.586957
p_r_2_4,-153.564982,2,4,5005,210,0.840756,0.284416,157539.981607,0.183645,0.407270,0.346880,500,29,2.518000,3.562000
w_c_2_4,-164.839521,2,4,225,55,0.635605,0.005535,272.865099,0.357357,0.378914,0.236083,29,2,2.172414,4.379310
p_c_2_4,-164.843148,2,4,625,55,0.635605,0.010434,143.647107,0.188853,0.165572,0.640433,23,1,2.173913,3.565217
w_r_2_5,-422.029159,2,5,1001,406,2.579620,0.176401,66969.978511,0.141126,0.305988,0.552577,500,0,2.514000,2.540000
