count,mat,scalar
281,1.14E+15,0.00E+00
282,7.35E+14,0.00E+00
283,2.08E+14,0.00E+00
284,2.08E+14,0.00E+00
285,1.56E+15,0.00E+00
286,9.06E+14,0.00E+00
287,6.23E+14,0.00E+00
288,2.09E+14,0.00E+00
289,1.16E+15,0.00E+00
290,7.45E+14,0.00E+00
291,2.09E+14,0.00E+00
292,1.61E+15,0.00E+00
293,9.15E+14,0.00E+00
294,6.33E+14,0.00E+00
295,2.11E+14,0.00E+00
296,1.18E+15,0.00E+00
297,7.50E+14,0.00E+00
298,2.13E+14,0.00E+00
299,1.63E+15,0.00E+00
300,9.35E+14,0.00E+00
301,6.44E+14,0.00E+00
302,2.16E+14,0.00E+00
303,2.15E+14,0.00E+00
304,1.22E+15,0.00E+00
305,7.70E+14,0.00E+00
306,2.18E+14,0.00E+00
307,1.70E+15,0.00E+00
308,9.76E+14,0.00E+00
309,6.64E+14,0.00E+00
310,2.22E+14,0.00E+00
311,1.28E+15,0.00E+00
312,8.08E+14,0.00E+00
313,2.29E+14,0.00E+00
314,1.85E+15,0.00E+00
315,1.03E+15,0.00E+00
316,7.00E+14,0.00E+00
317,2.38E+14,0.00E+00
318,1.39E+15,0.00E+00
319,8.74E+14,0.00E+00
320,2.52E+14,0.00E+00
321,2.04E+15,0.00E+00
322,1.15E+15,0.00E+00
323,7.82E+14,0.00E+00
324,2.72E+14,0.00E+00
325,1.62E+15,0.00E+00
326,1.00E+15,0.00E+00
327,3.06E+14,0.00E+00
328,2.56E+15,0.00E+00
329,1.40E+15,0.00E+00
330,9.53E+14,0.00E+00
331,3.55E+14,0.00E+00
332,2.18E+15,0.00E+00
333,1.35E+15,0.00E+00
334,4.49E+14,0.00E+00
335,3.89E+15,0.00E+00
336,2.16E+15,0.00E+00
337,1.43E+15,0.00E+00
338,6.17E+14,0.00E+00
339,3.78E+15,0.00E+00
340,2.37E+15,0.00E+00
341,1.01E+15,0.00E+00
342,9.02E+14,0.00E+00
343,8.38E+14,0.00E+00
344,7.82E+14,0.00E+00
345,7.43E+14,0.00E+00
346,7.19E+14,0.00E+00
347,6.94E+14,0.00E+00
348,6.78E+14,0.00E+00
349,6.31E+15,0.00E+00
350,3.35E+15,0.00E+00
351,2.22E+15,0.00E+00
352,7.72E+14,0.00E+00
353,7.52E+14,0.00E+00
354,5.07E+15,0.00E+00
355,3.06E+15,0.00E+00
356,8.76E+14,0.00E+00
357,8.40E+14,0.00E+00
358,7.75E+15,0.00E+00
359,4.15E+15,0.00E+00
360,2.75E+15,0.00E+00
361,9.95E+14,0.00E+00
362,9.59E+14,0.00E+00
363,9.46E+14,0.00E+00
364,9.20E+14,0.00E+00
365,9.04E+14,0.00E+00
366,8.98E+14,0.00E+00
367,8.84E+14,0.00E+00
368,8.76E+14,0.00E+00
369,8.70E+14,0.00E+00
370,8.65E+14,0.00E+00
371,8.61E+14,0.00E+00
372,8.61E+14,0.00E+00
373,8.58E+14,0.00E+00
374,8.55E+14,0.00E+00
375,8.57E+14,0.00E+00
376,8.49E+14,0.00E+00
377,8.53E+14,0.00E+00
378,8.49E+14,0.00E+00
379,8.47E+14,0.00E+00
380,8.51E+14,0.00E+00
381,8.51E+14,0.00E+00
382,9.91E+14,0.00E+00
383,6.54E+15,0.00E+00
384,2.57E+17,0.00E+00
385,2.02E+16,0.00E+00
386,8.52E+15,0.00E+00
387,5.65E+18,0.00E+00
388,5.65E+16,0.00E+00
389,2.92E+16,0.00E+00
390,3.49E+17,0.00E+00
