n,alpha,u,w
5,0.44382380783141023,-0.8524610606688341,1.0589152738802219
5,0.14535504723592899,-0.8524610606688341,1.0196700537428296
5,0.1303217736951249,-0.8524610606688341,1.017653316411418
5,0.02184582526509246,-0.8524610606688341,1.0029809049759666
5,0.2586535459724435,-0.8524610606688341,1.0347427927056485
5,0.06951371960610311,-0.8520292715244139,1.009480048420082
5,0.29166473983786256,-0.8520292715244139,1.039196609602916
5,0.37555210398158156,-0.8520292715244139,1.050199314468384
5,0.2417209963099375,-0.8520292715244139,1.0325902886696348
5,0.021548440264515165,-0.8520292715244139,1.0029482885162135
5,0.008737852519647656,-0.855490784614492,1.0011707870526196
5,0.24165027381617338,-0.855490784614492,1.0318890625692436
5,0.3942882841327883,-0.855490784614492,1.0515335036636921
5,0.2030496854273549,-0.855490784614492,1.0268616502279755
5,0.1522739041040356,-0.855490784614492,1.0202107911164187
5,0.15657476421267932,-0.8756814557508313,1.0180915578163614
5,0.09725850533538087,-0.8756814557508313,1.0112758955537333
5,0.17667498954795602,-0.8756814557508313,1.0203908224797793
5,0.3815505382974866,-0.8756814557508313,1.043537597962838
5,0.18794120260649733,-0.8756814557508313,1.0216773015780436
5,0.20593696111957918,-0.880844092258646,1.022816356117571
5,0.23079304753805677,-0.880844092258646,1.025535902573311
5,0.12810324206303494,-0.880844092258646,1.01425327050804
5,0.31416432114260195,-0.880844092258646,1.0346054952630996
5,0.12100242813672724,-0.880844092258646,1.0134684539539385
5,0.016614355749095363,-0.7010944522900662,1.0042150444274014
5,0.85812844730527,-0.7010944522900662,1.1984697068871526
5,0.07814201436081958,-0.7010944522900662,1.0196727969918926
5,0.022245548636791315,-0.7010944522900662,1.0056396614996506
5,0.02486963394802383,-0.7010944522900662,1.0063028313763276
8,0.23932184511398175,-0.9060333930964578,1.0212068329727155
8,0.06892475367381523,-0.9060333930964578,1.0061534131646113
8,0.26173785696808005,-0.9060333930964578,1.023170650717742
8,0.06523575061549253,-0.9060333930964578,1.0058250233969608
8,0.020931104299172044,-0.9060333930964578,1.0018726781403853
8,0.04141880127024727,-0.9060333930964578,1.0037022866244165
8,0.05157669576729356,-0.9060333930964578,1.0046081793441353
8,0.2508531922919177,-0.9060333930964578,1.022217540267202
8,0.011493042480518011,-0.9073384146842639,1.0010151150065674
8,0.16568085733930124,-0.9073384146842639,1.014535338220029
8,0.18796200835923701,-0.9073384146842639,1.0164742280612078
8,0.07346640031031497,-0.9073384146842639,1.0064711848290113
8,0.03850595230284395,-0.9073384146842639,1.003396950936332
8,0.13780492214921455,-0.9073384146842639,1.012104363840519
8,0.056240063062132334,-0.9073384146842639,1.0049575686085215
8,0.328846753996438,-0.9073384146842639,1.0286493103953158
8,0.10253179870186063,-0.8953816870324591,1.0101144496122947
8,0.10290490063927948,-0.8953816870324591,1.0101510700427758
8,0.011610328672715482,-0.8953816870324591,1.0011504554310908
8,0.047581410961706656,-0.8953816870324591,1.004706424341293
8,0.28316395159837404,-0.8953816870324591,1.0276911239090822
8,0.00357228626090813,-0.8953816870324591,1.0003541162216742
8,0.12518590844937347,-0.8953816870324591,1.012335577645148
8,0.32344941471578215,-0.8953816870324591,1.0315703158247318
8,0.0865557593809001,-0.8836630281528612,1.0094393513014635
8,0.05745667627367097,-0.8836630281528612,1.006275827489968
8,0.3318993284883837,-0.8836630281528612,1.035727912376775
8,0.0320153875236721,-0.8836630281528612,1.0035017916328413
8,0.3878056611635112,-0.8836630281528612,1.0416254618629257
8,0.01835763914546162,-0.8836630281528612,1.0020094268889832
8,0.04340657310884986,-0.8836630281528612,1.0047447965841987
8,0.04250297491555044,-0.8836630281528612,1.004646252204618
8,0.11240402167262208,-0.923685677082068,1.0082169698276566
8,0.12983547027340014,-0.923685677082068,1.009485254003373
8,0.18079942613227806,-0.923685677082068,1.0131842033243679
8,0.19628549814333757,-0.923685677082068,1.0143055058043904
8,0.08935379670818816,-0.923685677082068,1.0065374187158584
8,0.10368479429403575,-0.923685677082068,1.0075819738755636
8,0.018844713229550458,-0.923685677082068,1.001382297374721
8,0.16879227954658768,-0.923685677082068,1.0123139451147183
8,0.1249188148238508,-0.9143646302527157,1.0101875401802487
8,0.3173891467057667,-0.9143646302527157,1.0256860812597863
8,0.04601470288097923,-0.9143646302527157,1.0037646823107134
8,0.12910415440979023,-0.9143646302527157,1.0105270900390286
8,0.11051759360142008,-0.9143646302527157,1.0090183192990645
8,0.044285010144427546,-0.9143646302527157,1.0036234235297536
8,0.040834508275091067,-0.9143646302527157,1.0033415720572505
8,0.18693606915867428,-0.9143646302527157,1.015207273903874
8,0.03596185499833249,-0.8755456303396855,1.0041883411849817
8,0.014367496822743209,-0.8755456303396855,1.0016754328339483
8,0.5228752271392992,-0.8755456303396855,1.059268365650121
