n,u,v,w
330,1.1793615907506838,0.01696478079247715,-0.06982268527247444
365,1.177031882106722,0.015877123364176883,-0.06650458561044832
403,1.1747921994996815,0.014879138585162429,-0.06339528792207633
446,1.1725487044082001,0.013925016329386303,-0.06036019741742535
493,1.1703791540413375,0.013044551342347785,-0.05750107990631585
545,1.1682538245517426,0.012221187210818859,-0.05477282093009767
602,1.166189807172763,0.011457712692042609,-0.05219230438397318
665,1.1641675968402547,0.010743296894340847,-0.049730074239466904
735,1.162176325713375,0.010071457843204365,-0.04736950932356766
812,1.160234977390611,0.00944589967866099,-0.0451293375669887
898,1.158313699802681,0.00885467013213903,-0.04297187882137714
992,1.1564525398392003,0.008307675482868699,-0.040938443485527505
1097,1.1546097525807877,0.007790375844404995,-0.03897987734809244
1212,1.152820621500776,0.007310660515283081,-0.037130480494660036
1339,1.151067902829981,0.006861660025858592,-0.03536849229245647
1480,1.1493419197382733,0.006439241219081372,-0.033681453795469565
1636,1.147648502069738,0.00604332262822805,-0.03207252625080611
1808,1.1459923942851722,0.005673410827414913,-0.03054328537575855
1998,1.144369216783123,0.005327002158718865,-0.029086790830129154
2208,1.1427771988884814,0.005002362013221828,-0.02769884672050669
2441,1.141209891408975,0.004696999290225322,-0.026371576088299507
2697,1.139681543889044,0.004412471780219225,-0.025114543001154142
2981,1.1381763592381557,0.004144699168028074,-0.023912351110654602
3294,1.136703590250509,0.0038943276018542383,-0.02277026697969206
3641,1.1352538744760365,0.00365881439712408,-0.021678946570739273
4024,1.1338330928217717,0.003438250705040368,-0.020640891348373346
4447,1.1324394511118054,0.003231493126956889,-0.019652767428605666
4915,1.1310698896817362,0.003037315177710232,-0.01871057974460488
5432,1.12972591889033,0.0028552118674357993,-0.017813627666050373
6003,1.1284071121829935,0.0026844319483580233,-0.016959890277584592
6634,1.1271120505430257,0.0025241491149507233,-0.016146805654987936
7332,1.1258389509383357,0.0023735587079990184,-0.015371739461834831
8103,1.1245891220578632,0.002232264160033838,-0.014634020315839415
8955,1.1233614204321583,0.0020996106503688556,-0.01393153359185955
9897,1.1221547076602443,0.0019749922822178945,-0.013262282570495222
10938,1.1209690219985746,0.0018579677012388364,-0.012625036943256306
12088,1.1198044267258693,0.0017480947283851607,-0.012018471712903878
13360,1.118658826462224,0.0016447982817809558,-0.011440420137408824
14765,1.1175334152570915,0.0015478089780545479,-0.01089032437174662
16318,1.11642690605545,0.0014566636391707699,-0.01036645871100846
18034,1.1153392304511487,0.0013710293177926507,-0.009867752909465793
19930,1.1142699839814338,0.001290565445376226,-0.009393020695933516
22026,1.1132181824293992,0.001214911423669217,-0.008940880014592634
24343,1.1121835041861465,0.00114377792301948,-0.008510299403714248
26903,1.1111660754992452,0.0010769213192511717,-0.008100465680925819
29733,1.1101649660008106,0.0010140440396310172,-0.007710177310323778
32860,1.109180277406751,0.0009549311424323558,-0.007338685546359019
36316,1.1082113965734424,0.0008993373555801223,-0.006985001735732386
40135,1.1072581198885394,0.0008470559104056647,-0.006648330051511442
44356,1.1063199045062895,0.0007978742324196951,-0.00632779054517122
49021,1.1053964868435442,0.0007516074803634,-0.006022638120156405
54176,1.1044876609408605,0.000708084241187486,-0.0057321761187891385
59874,1.1035928688285341,0.0006671270203775496,-0.005455627955358176
66171,1.1027119798444178,0.0006285885470443824,-0.005192383102015696
73130,1.1018446620630835,0.0005923222199695675,-0.004941802614440012
80822,1.1009905437169076,0.0005581850175018005,-0.004703238905369138
89322,1.1001494934524159,0.0005260574428694596,-0.004476178105473465
98716,1.0993211241410692,0.0004958146147522695,-0.004260040756948795
109098,1.0985052402620825,0.00046734357430235405,-0.004054304687752472
120572,0.004605101105771907,0.0019796894033718344,-0.021491068877653636
