
instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
syn20h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-927.2192203836544,-927.2192190320819,24,0.005252937,4.198138812,0.271377575,1453313904,4.198122978210449,4.188881251,1450490384,4.239700052144357e-8,4.572489395107774e-11,4.257896490336662e-7,0.0,1.9781996555512173e-9,normalF64
syn40m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1833.9137168864445,-1833.9137166148428,26,0.006863699,12.740193158,0.768293882,5336594952,12.740178108215332,12.726623207,5331666520,3.148747129699814e-8,1.7169548930827825e-11,1.2610465816025877e-7,0.0,5.654566889838827e-10,normalF64
rsyn0805m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2111.0247270950194,-2111.024727116869,20,0.005161935,0.652637197,0.034506154,131721616,0.6526250839233398,0.64474818,127717456,6.106920524828752e-11,2.892870200166951e-14,3.6613869139377676e-6,0.0,5.862068631973055e-13,normalF64
enpro48,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,174318.13290780433,174318.13290187565,58,0.005570912,11.39288811,0.638073179,4074461984,11.392872095108032,11.375505116,4069287952,5.6804518879481625e-11,3.258669533332892e-16,0.00011729351143767883,0.0,3.0641352679305324e-12,normalF64
syn15m02m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4689.79320937894,-4689.793174445418,21,0.007773074,18.037786845,1.110874353,8674844112,18.03777313232422,18.023604561,8667877536,6.212302681101039e-7,1.3246431993370816e-10,5.298435318179941e-6,0.0,1.463567794025696e-8,normalF64
syn10m03m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-6813.8851591273105,-6813.885158841207,42,0.007183481,32.410920372,1.961765462,14907400520,32.410903215408325,32.390086447,14900732216,5.577015710356292e-9,8.184780899757003e-13,2.0260486843224753e-7,0.0,1.6315233987124138e-10,normalF64
rsyn0810m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2963.2095606014095,-2963.2095634569732,20,0.006351811,3.575738733,0.166552186,1263339560,3.575716018676758,3.560901172,1258356216,5.174478387437453e-9,1.7462411218689668e-12,6.6772189419149415e-6,0.0,7.200557965466939e-11,normalF64
syn05m04h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-5510.998674825712,-5510.998674305442,26,0.007007081,8.094983318,0.496286421,3514123856,8.094961881637573,8.083301417,3509334192,1.9747955493087943e-9,3.583371482794356e-13,5.993146599933035e-7,0.0,7.124276315457501e-11,normalF64
rsyn0815m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2585.1356821578506,-2585.135721304751,20,0.008575249,5.670611993,0.368388827,2411427704,5.670596122741699,5.657254794,2404932056,9.033848047401705e-8,3.49453535833795e-11,2.3464679568416773e-6,0.0,9.20158237077993e-10,normalF64
syn30h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-146.5905978026148,-146.59059241562306,27,0.010361271,22.820491385,1.447806168,10930090512,22.82047700881958,22.8043904,10924389536,2.9912261600983925e-7,2.0405307058820363e-9,8.540470899235271e-7,0.0,5.0433474869083315e-9,normalF64
rsyn0820m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-3896.2304504500107,-3896.230516065251,23,0.009749806,15.319034126,0.985468703,7222390904,15.31902003288269,15.303079346,7214880104,1.3188219438742266e-7,3.384866374425835e-11,5.64675527993246e-6,0.0,9.333993033467778e-10,normalF64
