mat,scalar
5.91E+06,2.75E+06
3.64E+07,4.32E+07
5.42E+06,2.63E+06
3.14E+07,3.95E+07
5.08E+06,2.54E+06
2.81E+07,3.69E+07
4.84E+06,7.89E+06
2.58E+07,2.69E+08
1.64E+07,5.63E+06
1.92E+08,1.52E+08
1.14E+07,4.54E+06
1.05E+08,1.06E+08
9.02E+06,3.00E+06
7.30E+07,5.23E+07
6.09E+06,7.64E+06
3.96E+07,2.83E+08
1.64E+07,5.87E+06
2.15E+08,1.79E+08
1.24E+07,3.92E+06
1.34E+08,8.96E+07
8.75E+06,3.69E+06
7.75E+07,7.98E+07
8.04E+06,3.53E+06
6.67E+07,7.29E+07
7.56E+06,1.07E+07
5.95E+07,5.72E+08
7.21E+06,7.68E+06
5.46E+07,3.10E+08
2.33E+07,6.23E+06
4.36E+08,2.13E+08
1.64E+07,4.37E+06
2.31E+08,1.14E+08
1.31E+07,4.17E+06
1.58E+08,1.04E+08
9.00E+06,1.03E+07
8.44E+07,5.90E+08
2.34E+07,8.01E+06
4.82E+08,3.64E+08
1.78E+07,5.40E+06
2.94E+08,1.79E+08
1.28E+07,5.10E+06
1.67E+08,1.59E+08
1.18E+07,4.88E+06
1.43E+08,1.45E+08
1.11E+07,4.72E+06
1.28E+08,1.36E+08
1.06E+07,4.60E+06
1.17E+08,1.28E+08
1.02E+07,1.36E+07
1.09E+08,1.07E+09
3.18E+07,9.83E+06
9.38E+08,5.62E+08
2.26E+07,8.01E+06
4.78E+08,3.81E+08
1.82E+07,5.23E+06
3.21E+08,1.70E+08
1.21E+07,1.28E+07
1.54E+08,1.00E+09
3.05E+07,9.92E+06
9.20E+08,6.08E+08
2.35E+07,6.37E+06
5.49E+08,2.61E+08
1.57E+07,6.10E+06
2.64E+08,2.39E+08
1.48E+07,5.90E+06
2.34E+08,2.22E+08
1.42E+07,1.71E+07
2.14E+08,1.98E+09
4.23E+07,1.24E+07
1.98E+09,1.00E+09
3.04E+07,1.02E+07
9.68E+08,6.70E+08
2.47E+07,6.93E+06
6.41E+08,3.18E+08
1.75E+07,1.66E+07
3.34E+08,1.96E+09
4.23E+07,1.29E+07
2.09E+09,1.16E+09
3.29E+07,8.90E+06
1.21E+09,5.53E+08
2.42E+07,8.41E+06
6.71E+08,4.90E+08
2.24E+07,8.06E+06
5.73E+08,4.47E+08
2.12E+07,2.27E+07
5.08E+08,4.28E+09
2.03E+07,1.66E+07
4.64E+08,2.07E+09
5.79E+07,1.37E+07
4.66E+09,1.36E+09
4.21E+07,9.85E+06
2.16E+09,7.05E+08
3.45E+07,2.29E+07
1.41E+09,4.52E+09
2.48E+07,1.80E+07
7.24E+08,2.60E+09
5.77E+07,1.35E+07
4.74E+09,1.44E+09
4.53E+07,1.25E+07
2.67E+09,1.22E+09
3.38E+07,1.19E+07
1.46E+09,1.08E+09
3.14E+07,1.14E+07
1.24E+09,9.87E+08
2.98E+07,3.11E+07
1.10E+09,1.02E+10
8.07E+07,2.29E+07
1.21E+10,4.67E+09
5.95E+07,1.90E+07
5.26E+09,3.03E+09
4.92E+07,1.38E+07
3.36E+09,1.55E+09
3.80E+07,3.13E+07
1.95E+09,1.04E+10
8.41E+07,2.47E+07
1.33E+10,5.79E+09
6.68E+07,1.87E+07
7.24E+09,3.15E+09
5.58E+07,1.74E+07
4.87E+09,2.68E+09
5.08E+07,1.65E+07
3.89E+09,2.37E+09
4.74E+07,4.36E+07
3.31E+09,2.68E+10
1.20E+08,3.24E+07
3.93E+10,1.14E+10
9.02E+07,2.69E+07
1.60E+10,7.28E+09
7.55E+07,2.10E+07
1.01E+10,4.22E+09
6.35E+07,4.57E+07
6.86E+09,2.90E+10
1.32E+08,3.65E+07
4.72E+10,1.57E+10
1.06E+08,3.07E+07
2.51E+10,1.06E+10
1.02E+08,2.79E+07
2.33E+10,8.43E+09
8.99E+07,2.61E+07
1.67E+10,7.17E+09
8.25E+07,6.54E+07
1.34E+10,8.73E+10
1.92E+08,4.92E+07
1.58E+11,3.45E+10
1.47E+08,4.12E+07
6.21E+10,2.16E+10
1.25E+08,3.49E+07
4.03E+10,1.48E+10
1.12E+08,7.18E+07
2.99E+10,1.01E+11
2.98E+08,5.80E+07
8.74E+11,5.32E+10
2.11E+08,5.58E+07
1.83E+11,4.97E+10
1.74E+08,4.93E+07
9.94E+10,3.56E+10
1.67E+08,1.11E+08
9.17E+10,3.90E+11
1.50E+08,8.55E+07
6.69E+10,1.54E+11
3.00E+08,8.60E+07
5.80E+11,1.62E+11
2.38E+08,7.32E+07
2.56E+11,1.01E+11
