instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
syn30m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1426.1617833232758,-1426.1617831599422,25,2.686851395,29.241332363,1.336998288,8101846214,25.28824281692505,22.027270767,7311729458,2.4364490869288602e-8,1.7083960006636757e-11,1.8349991371886969e-6,0.0,5.388817521614913e-10,oraclesBF
syn10m02m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4717.038457292943,-4717.038386179003,21,2.666421508,25.363957813,1.174135555,6505469406,21.39031219482422,18.157329478,5715276858,9.893918320458273e-7,2.0974851933126457e-10,6.8690680337934865e-6,0.0,6.079269479006864e-8,oraclesBF
rijc787,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,5.1844649065765855,5.184464840961638,14,2.71491262,19.81502567,0.83524373,4084489629,15.887324094772339,12.621291439,3292352233,7.39619397097897e-8,1.4266070265426063e-8,4.650567868538762e-9,0.0,4.4928897584889244e-10,oraclesBF
syn15h,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-854.3227970606897,-854.3227969343211,15,2.632498082,15.835465915,0.496200115,1904788782,11.951551914215088,8.753601558,1115709130,6.54598555913912e-9,7.662192302090826e-12,1.0192891333774392e-8,0.0,1.76530896775743e-10,oraclesBF
ravem,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,230062.15587301602,230062.15587458276,61,2.678964416,25.495065134,1.030512003,4852193550,21.566389083862305,18.31433,4061575258,9.397280232480631e-14,4.084670160877529e-19,0.0002471909333368605,0.0,5.909018624905837e-14,oraclesBF
syn05m04m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-6587.6914541637525,-6587.691453726193,28,2.664703446,27.734174769,1.371548418,7126911686,23.777329921722412,20.547044745,6336114002,1.8430812431802224e-9,2.797764977312807e-13,1.9223602027843233e-8,0.0,7.18491685610443e-11,oraclesBF
enpro56,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,223974.27322563803,223974.45164234404,64,2.691182721,21.98474659,0.878168461,3746733576,18.040678024291992,14.77582548,2955662212,1.2142928358297195e-8,5.421568517862813e-14,1.0068938723710854,0.0,8.514205381404117e-9,oraclesBF
syn05m03h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4027.9831309425294,-4027.9830886546215,24,2.768235252,26.34442435,1.128274584,6847228214,22.348296880722046,19.004010433,6057313714,1.4637648027004957e-7,3.633989406400472e-11,6.271310030973631e-7,0.0,7.984958257522176e-9,oraclesBF
syn20h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-927.2192203836544,-927.2192190320819,24,2.720660361,21.042911271,0.820794802,3912591622,17.079847812652588,13.788307666,3122613666,4.239700052144357e-8,4.572489395107774e-11,4.257896490336662e-7,0.0,1.9781996555512173e-9,oraclesBF
syn40m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1833.9137168864445,-1833.9137166148428,26,2.682182168,26.663827422,1.100564862,6441373542,22.713968992233276,19.464473216,5649290690,3.148747129699814e-8,1.7169548930827825e-11,1.2610465816025877e-7,0.0,5.654566889838827e-10,oraclesBF
rsyn0805m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2111.0247270950194,-2111.024727116869,20,2.718307126,15.730973123,0.56070858,1805065230,11.771234035491943,8.487563907,1013906634,6.106920524828752e-11,2.892870200166951e-14,3.6613869139377676e-6,0.0,5.862068631973055e-13,oraclesBF
enpro48,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,174318.13290780433,174318.13290187565,58,2.676507956,32.456725877,1.848815165,8488414726,28.568562030792236,25.315977742,7696086242,5.6804518879481625e-11,3.258669533332892e-16,0.00011729351143767883,0.0,3.0641352679305324e-12,oraclesBF
syn10m02h,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-2312.145201202789,-2312.145199088411,27,2.73689032,21.955737293,0.958345688,4498383318,17.983362197875977,14.676009511,3707184658,1.5586260226907456e-8,6.741038676463489e-12,1.142105684330215e-8,0.0,6.757022118125519e-10,oraclesBF
syn15m02m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4689.79320937894,-4689.793174445418,21,2.684853077,27.02584133,1.266045328,7083580710,23.06966996192932,19.814377124,6289459698,6.212302681101039e-7,1.3246431993370816e-10,5.298435318179941e-6,0.0,1.463567794025696e-8,oraclesBF
syn10m03m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-6813.8851591273105,-6813.885158841207,42,2.676248372,47.073565556,2.33485375,16235521182,43.125269174575806,39.86681226,15441698426,5.577015710356292e-9,8.184780899757003e-13,2.0260486843224753e-7,0.0,1.6315233987124138e-10,oraclesBF
rsyn0810m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2963.2095606014095,-2963.2095634569732,20,2.724421003,19.119952226,0.734802396,3191038262,15.167511940002441,11.879750873,2398900514,5.174478387437453e-9,1.7462411218689668e-12,6.6772189419149415e-6,0.0,7.200557965466939e-11,oraclesBF
syn05m04h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-5510.998674825712,-5510.998674305442,26,2.687739373,25.685863461,1.208088723,6484708958,21.726550102233887,18.468164172,5692764874,1.9747955493087943e-9,3.583371482794356e-13,5.993146599933035e-7,0.0,7.124276315457501e-11,oraclesBF
rsyn0815m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2585.1356821578506,-2585.135721304751,20,2.720393936,20.776668665,0.841492205,4204118694,16.84562087059021,13.557087691,3410468610,9.033848047401705e-8,3.49453535833795e-11,2.3464679568416773e-6,0.0,9.20158237077993e-10,oraclesBF
syn30h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-146.5905978026148,-146.59059241562306,27,2.696957437,34.602335791,1.825421303,10728055982,30.646550178527832,27.375083612,9935200570,2.9912261600983925e-7,2.0405307058820363e-9,8.540470899235271e-7,0.0,5.0433474869083315e-9,oraclesBF
rsyn0820m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-3896.2304504500107,-3896.230516065251,23,2.718219859,26.894446064,1.236680338,7267583422,22.961202144622803,19.670927735,6472918218,1.3188219438742266e-7,3.384866374425835e-11,5.64675527993246e-6,0.0,9.333993033467778e-10,oraclesBF
syn20m02m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4884.227850769767,-4884.227844855074,18,2.673451803,19.540926952,0.799758779,3309871318,15.60928988456726,12.367106218,2511847186,3.4611668608963697e-7,7.086415635484492e-11,9.794070772851463e-7,0.0,5.886089049002491e-9,oraclesBF
bss1,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,1.7112389658290479,1.7112389519387288,10,2.45726319,11.970006069,0.449143886,1386332416,7.82035493850708,4.811422753,558403746,2.0113103182950454e-8,1.1753532819109535e-8,2.1097881173537887e-9,0.0,3.232807375858977e-9,normalF64
demb782,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,0.6931471807039512,0.6931471803674041,7,2.475420287,13.263230574,0.464628953,1588833287,9.172407150268555,6.166458361,760905097,1.114741188246171e-9,1.6082315846041532e-9,2.505114200234751e-10,0.0,9.850150578158761e-11,normalF64
bss2,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,4.108531677908834,4.108531656840812,12,2.47947551,13.24963441,0.439466048,1596451383,9.138338088989258,6.132506679,768507017,6.001947380762651e-8,1.460849734665973e-8,6.379492322076736e-9,0.0,3.395028653149822e-9,normalF64
demb781,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,0.6931471836952724,0.6931470844461649,11,2.448436183,13.265336786,0.473047074,1597811816,9.132544040679932,6.150067703,769851210,2.2202941281540002e-7,3.2032077721686575e-7,9.049691223154882e-9,0.0,1.0466426895908326e-8,normalF64
synthes1,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,0.7592856792310594,0.7592752428292929,13,2.397989203,13.255772746,0.468743968,1602946190,9.179147958755493,6.221975365,777021367,1.4800783219394377e-6,1.9493304120179278e-6,6.166328263372327e-7,0.0,6.962250522464286e-8,normalF64
gptest,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-4.414286537290707,-4.414286569181245,15,2.44308643,13.229307382,0.475440539,1599451367,9.125848054885864,6.15967979,771469097,2.8702357490750785e-8,6.502150970101506e-9,3.5453648486538328e-9,0.0,1.5043064769556682e-9,normalF64
rijc781,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-4.414286537290707,-4.414286569181245,15,2.455482218,13.292991367,0.500024628,1599413991,9.159176111221313,6.177838901,771431721,2.8702357490750785e-8,6.502150970101506e-9,3.5453648486538328e-9,0.0,1.5043064769556682e-9,normalF64
synthes2,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-0.5544166733580358,-0.554418029003486,15,2.412400758,13.216061756,0.411951826,1596395231,9.09841513633728,6.154186599,770463704,6.354219709159875e-8,1.1461090574122027e-7,1.232034408667634e-7,0.0,3.820897671977018e-9,normalF64
