# n = 4
fold,tr_refrmse,ts_refrmse,deg,use_wsos,tr_rmse,ts_rmse,time,conv,status
3,0,0,6,false,0.9895705142129586,0.07041741185139065,358.735656,mono,TIME_LIMIT
3,0,0,6,false,1.2178225143941188,0.01624938328399429,307.507674,conv,TIME_LIMIT
3,0,0,6,false,0.31266722189747936,0.0887652151455449,0.3179586,neither,OPTIMAL
4,0,0,4,true,0.7349481213709432,0.0129985935452657,17.5973609,mono,OPTIMAL
4,0,0,4,true,0.7165369147082523,0.01366015232996186,8.145804501,conv,OPTIMAL
4,0,0,4,true,0.5420891264297698,0.025958815729834977,0.1341732,neither,OPTIMAL
4,0,0,4,false,0.7320916245134097,0.013067993233952054,120.1156121,mono,OPTIMAL
4,0,0,4,false,0.7567162203487128,0.01230778162670487,2.8431526,conv,OPTIMAL
4,0,0,4,false,0.5420891264297698,0.025958815729834977,0.163363501,neither,OPTIMAL
4,0,0,5,true,0.7270482552928325,0.012946553455432223,80.1295166,mono,OPTIMAL
4,0,0,5,true,0.708048076394213,0.01358739574747475,193.8203038,conv,OPTIMAL
4,0,0,5,true,0.40912370322293407,0.026773603475877653,0.1852459,neither,OPTIMAL
4,0,0,5,false,0.7281956184411361,0.01313465071479447,142.6601553,mono,OPTIMAL
4,0,0,5,false,0.756716220348777,0.01230778162668663,2.9169687,conv,OPTIMAL
4,0,0,5,false,0.40912370322293407,0.026773603475877653,0.179942899,neither,OPTIMAL
4,0,0,6,true,0.7252431092505063,0.013064998013188313,86.968351599,mono,OPTIMAL
4,0,0,6,true,0.6782620134719866,0.013830736058239113,225.3242517,conv,OPTIMAL
4,0,0,6,true,0.3080224081686193,0.21414713658157736,0.3264795,neither,OPTIMAL
4,0,0,6,false,0.9899563054487669,0.06148878728732508,343.0154407,mono,TIME_LIMIT
4,0,0,6,false,1.2037596067793133,0.014081796118019678,313.3307807,conv,TIME_LIMIT
4,0,0,6,false,0.3080224081686193,0.21414713658157736,0.3183431,neither,OPTIMAL
5,0,0,4,true,0.726304278242476,0.01773188780510488,18.3757866,mono,OPTIMAL
5,0,0,4,true,0.7075395943239291,0.018715566110944014,8.019972,conv,OPTIMAL
5,0,0,4,true,0.5181898387939411,0.05027418122870183,0.224272199,neither,OPTIMAL
5,0,0,4,false,0.723467148018891,0.01781320828650108,115.1315865,mono,OPTIMAL
5,0,0,4,false,0.7468865247429133,0.01892339203089473,2.2753619,conv,OPTIMAL
5,0,0,4,false,0.5181898387939411,0.05027418122870183,0.132753801,neither,OPTIMAL
5,0,0,5,true,0.7176974619525253,0.018137178613987004,75.8527456,mono,OPTIMAL
5,0,0,5,true,0.6991611860489153,0.01937715684407138,182.1136725,conv,OPTIMAL
5,0,0,5,true,0.38115489918289874,0.04677359190129044,0.163814001,neither,OPTIMAL
5,0,0,5,false,0.7194642371260452,0.01788871402568188,145.8043517,mono,OPTIMAL
5,0,0,5,false,0.7468865247427683,0.018923392030822092,2.7693509,conv,OPTIMAL
5,0,0,5,false,0.38115489918289874,0.04677359190129044,0.158651401,neither,OPTIMAL
5,0,0,6,true,0.716055340796698,0.018003788301713765,85.8991432,mono,OPTIMAL
5,0,0,6,true,0.6651566358763156,0.02062080046347775,241.338901101,conv,OPTIMAL
5,0,0,6,true,0.3001172055094474,0.16181532997107778,0.318074999,neither,OPTIMAL
5,0,0,6,false,0.9892898550972621,0.06715385057012231,349.5578463,mono,TIME_LIMIT
5,0,0,6,false,1.177928388432654,0.026023639957501107,318.7040272,conv,TIME_LIMIT
5,0,0,6,false,0.3001172055094474,0.16181532997107778,0.318667899,neither,OPTIMAL
