count,mat,sparse,naive,matsmooth,sparsesmooth,naivesmooth
84,0,0,1.93673E+19,0,0,7.54532E+18
85,0,0,2.5282E+18,0,0,5.88537E+18
86,0,0,9.28655E+18,0,0,6.05749E+18
87,0,0,3.63203E+18,0,0,1.04233E+19
88,0,0,1.9361E+18,0,0,1.04484E+19
89,0,0,5.24593E+18,0,0,1.07596E+19
90,0,0,1.06202E+19,0,0,1.16856E+19
91,0,0,1.044E+19,0,0,1.12654E+19
92,0,0,3.53982E+18,0,0,1.07355E+19
93,0,0,8.85715E+18,0,0,1.05069E+19
94,0,0,2.76769E+18,0,0,9.93736E+18
95,0,0,4.24944E+18,0,0,9.85724E+18
96,0,0,5.29446E+19,0,0,9.67091E+18
97,0,0,3.88342E+18,0,0,4.86273E+18
98,0,0,5.04755E+18,0,0,4.98514E+18
99,0,0,1.45063E+19,0,0,4.97622E+18
100,0,0,6.41773E+18,0,0,3.38788E+18
101,0,0,5.14147E+18,0,0,2.78191E+18
102,0,0,1.25328E+18,0,0,2.19202E+18
103,0,0,3.16215E+18,0,0,2.50493E+18
104,0,0,1.96645E+18,0,0,2.17632E+18
105,0,0,2.38618E+18,0,0,2.38618E+18
