example,model_type,inst_set,inst_num,inst_data,extender,real_T,solver,solver_options,nondefaults,script_status,n,p,q,nu,cone_types,num_cones,max_q,status,solve_time,iters,primal_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,time_rescale,time_initx,time_inity,time_unproc,time_loadsys,time_upsys,time_upfact,time_uprhs,time_getdir,time_search,setup_time,check_time,total_time
centralpolymat,JuMP,ext,3,"(4, 5, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,SetupModelKilledTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.422384203,0.0,2213.146588067
centralpolymat,JuMP,ext,1,"(8, 2, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,Success,46755,496,91350,4230.0,"[""Nonnegative"", ""PosSemidefTri"", ""GeneralizedPower""]",134,1035,Optimal,105.15335392951965,25,0.09128991424165613,0.09128988137560552,3.011670057990035e-8,2.876567395744176e-7,1.7775629557702233e-8,1.1930438781212176e-8,2.4658518244653596e-8,,,,,,,,,,,39.07840998,106.219299463,192.696590907
centralpolymat,JuMP,ext,2,"(8, 3, Main.Examples.MatPower12ConjEigOrd(1.5))",,Float64,Mosek,,,SetupModelKilledTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.434249895,0.0,2213.465900838
classicalquantum,JuMP,nat,1,"(20, false, false)",,Float64,Hypatia,,,Success,21,1,232,42.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,212,Optimal,0.07048296928405762,21,-0.5006003572443736,-0.5006005666858462,1.3957176697063782e-7,5.681446365099246e-7,1.2364099579882704e-10,1.1102230246251565e-16,4.441243765113123e-9,5.451e-5,2.061e-5,6.7191e-5,2.696e-5,3.009e-5,0.016379457,8.333200000000001e-5,0.016135538999999997,0.011278056000000005,0.025086082000000003,1.002537116,1.002523039,72.800720747
classicalquantum,JuMP,nat,2,"(40, false, false)",,Float64,Hypatia,,,Success,41,1,862,82.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,822,Optimal,0.2669200897216797,25,-0.5019216516552687,-0.5019218300737363,1.187934444943586e-7,6.249040723696691e-7,5.0288652350443454e-11,2.220446049250313e-16,2.065319772842633e-9,0.000199591,7.0081e-5,0.00013821,3.187e-5,8.808e-5,0.09229382599999998,0.00027556,0.07574543899999996,0.031714553,0.062393572,1.002438544,1.001401968,72.212313186
classicalquantum,JuMP,nat,3,"(60, false, false)",,Float64,Hypatia,,,Success,61,1,1892,122.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,1832,Optimal,0.8996260166168213,29,-0.5000744876763048,-0.5000747526154616,1.7661730282008767e-7,1.0486593914311004e-6,3.3474047864349914e-11,1.1102230246251565e-16,2.104062922156369e-9,0.000601533,0.000140531,0.000272161,3.918e-5,0.000209481,0.35641612500000003,0.000596642,0.23481918500000004,0.08700305600000001,0.21637313100000002,1.002079811,1.001419417,72.121385198
classicalquantum,JuMP,nat,4,"(80, false, false)",,Float64,Hypatia,,,Success,81,1,3322,162.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,3242,Optimal,2.6238300800323486,32,-0.5017325985791241,-0.5017330248128054,2.8382786700184093e-7,1.8218507388678178e-6,3.540038317992386e-11,1.1102230246251565e-16,2.5730683183081138e-9,0.001664108,0.000250491,0.001251356,5.375e-5,0.001430697,1.188792024,0.0011755890000000003,0.831373386,0.21889847400000007,0.37381722799999995,1.001461533,3.004817683,74.102070435
classicalquantum,JuMP,nat,5,"(100, false, false)",,Float64,Hypatia,,,Success,101,1,5152,202.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,5052,Optimal,6.243185997009277,40,-0.50145263782081,-0.5014528620200434,1.4932152655064523e-7,1.0412090127864815e-6,1.195492885389429e-9,3.3306690738754696e-16,1.0921697808294328e-9,0.002934291,0.000444332,0.002357429,4.774e-5,0.00284859,3.127260931,0.0021598759999999994,1.779450598,0.4701653500000003,0.847792939,1.001761898,7.008924325,81.187073011
classicalquantum,JuMP,nat,6,"(150, false, false)",,Float64,Hypatia,,,Success,151,1,11477,302.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,11327,Optimal,27.505210876464844,44,-0.5011756993437082,-0.5011759109001357,1.4092713981836208e-7,1.042048661220596e-6,2.1240682238416858e-10,3.3306690738754696e-16,6.935702047405901e-10,0.010354021,0.001242145,0.00789012,7.737e-5,0.008477953,17.489566732999997,0.005184988000000001,5.8621208099999995,1.9040905890000008,2.19822805,2.004531649,28.040918911,103.404642165
classicalquantum,JuMP,nat,7,"(200, false, false)",,Float64,Hypatia,,,Success,201,1,20302,402.0,"[""Nonnegative"", ""EpiPerSepSpectral""]",2,20102,Optimal,65.75467085838318,44,-0.5007908925626046,-0.500791037371223,9.648819510765373e-8,7.643728869577426e-7,1.2432528416763223e-10,2.220446049250313e-16,3.57835808293544e-10,0.021702219,0.004828369,0.010777004,0.00012413,0.016971719,44.99850523099999,0.008049256,12.591819539000003,4.070371434000002,3.9407981280000004,3.004879318,66.116077982,142.881610508
