cond,minres,,gmres,,gmresrestart,,minreskry,,greskry,,diprecon,,newpreconrestart,
0,false,0.29360538350805876,true,6.994612304650196e-13,false,1.0446499421627922,false,0.2936040187069771,false,1.8557236846258628e-5,true,1.550849972756059e-12,true,3.1924195035231664e-9
0,false,0.29825683695255,true,1.0224731201735417e-12,false,1.0034390719949833,false,0.2982567390596594,false,9.073214872149187e-5,true,1.4309403465820836e-12,true,1.0262759848023828e-8
0,false,0.33972557042471146,true,1.1463650281506672e-12,false,1.3130102042231646,false,0.3397291398660205,false,0.00012475037756380555,true,3.2019968715014102e-12,true,2.8457578743969966e-8
0,false,0.22942234132108677,true,1.7611459708931397e-12,false,2.3785440321124303,false,0.2271135956980605,false,0.00018497935744021983,true,1.0946460030352451e-11,true,9.312682865843474e-8
0,false,0.5191309440419801,true,3.009701242741473e-12,false,2.5068062298584093,false,0.5621399813001919,false,2.6501646480336226e-5,true,8.469615179101943e-12,true,6.994707439894946e-7
0,false,1.8528086033386009,true,2.814892417207577e-12,false,2.640277591648564,false,1.4887007125066296,false,0.0008135487001684713,true,8.09751010278223e-12,true,6.259805324964883e-7
0,false,2.690122688122908,true,6.481293661529043e-12,false,2.693983673377202,false,2.689511222251177,false,0.001433215147916411,true,1.4397418075144359e-11,true,1.5085367332528901e-6
0,false,2.7049062313146486,true,7.70686893590653e-12,false,2.704669959829123,false,2.7029059149179293,false,0.0015634463013082095,true,6.915479791921041e-11,true,2.202682664240349e-6
0,false,2.8023642560367037,true,1.3532417658613303e-11,false,2.685938509041234,false,2.8023648058536677,false,0.0015135567830309156,true,5.00636978335559e-11,true,1.09981086076636e-6
0,false,2.776716929073919,true,7.067452975016233e-12,false,2.845139270072065,false,2.74434196419727,false,0.0016563404101745496,true,8.966035191099356e-11,true,7.708284311277835e-7
0,false,2.931088875163763,true,3.880180072680588e-11,false,3.198250047205316,false,2.9309723028599652,false,0.012465131006492483,true,7.53434271192177e-11,true,3.979004533596266e-6
0,false,2.979100660774274,true,2.7590885345191975e-11,false,4.073387152388644,false,2.979183387238265,false,0.01243248967684018,true,1.428624204328512e-10,true,9.472040809564028e-6
0,false,3.016032616056453,true,3.285291378974576e-11,false,4.966864366723059,false,3.0189787492284954,false,0.01310123614727542,true,1.5302186015819213e-10,true,6.268710825994881e-11
0,false,3.0434689230100145,true,3.9537282226165605e-11,false,5.186676382054757,false,3.0415616477845995,false,0.013576222006069139,true,1.6731929933359572e-10,true,2.9504356775636425e-11
0,false,3.058705529602372,true,4.1605790644285427e-11,false,5.279489925877044,false,3.0620265442707684,false,0.0303938686966768,true,3.441043942201379e-10,true,4.050861911919899e-11
0,false,3.0735673473174385,true,6.014654777891931e-11,false,5.397292501132426,false,3.0734943944718864,false,0.033218201373749826,true,3.1437157122841143e-10,true,8.22495530476868e-11
0,false,3.0831766289406635,true,5.569091418867501e-11,false,5.515007290902392,false,3.083175623454974,false,0.03480531686678446,true,2.017438926056519e-10,true,4.714719930044208e-11
0,false,3.0914185330825363,true,7.529070390629658e-11,false,5.715590692494585,false,3.096527389270984,false,0.03501422833264805,true,1.2149287481296748e-10,true,2.639370309824566e-10
0,false,3.107832259501899,true,1.0558503395980993e-10,false,7.7631850270388485,false,3.1078218653975638,false,0.09726115880874853,true,6.240569640657808e-10,true,4.3422784818021826e-10
0,false,3.121444254828536,true,1.9498849419502653e-10,false,9.364972197333088,false,3.1204630067878636,false,0.13668533826882098,true,7.507850384270668e-10,true,8.581070619712436e-10
0,false,3.6501121138252164,true,1.5167805475004008e-9,false,9.58766037915239,true,4.921771122120833,false,0.16929698354790793,true,1.7098637683508026e-9,true,1.6028992243164228e-9
